Recipe Name,Ingredients,Cuisine,Meal Type,Calories,Macros,Sides 
Chickpea Salad,"chickpea (50g) (Vegetables), cucumber (1 unit) (Vegetables), tomato (1 medium) (Vegetables), red onion (1 unit) (Vegetables), lemon juice (1 unit) (Sauces), olive oil (1 unit) (Condiments), parsley (1 unit) (Herbs)",Mediterranean,Lunch,300,"Protein: 22.5g, Carbs: 37.5g, Fat: 6.7g",None
Vegetable Stir Fry,"broccoli (1 unit) (Vegetables), carrot (1 small) (Vegetables), bell pepper (1 small) (Vegetables), soy sauce (1 tbsp) (Sauces), garlic (2 cloves) (Spices), ginger (1 tsp) (Spices), sesame oil (1 unit) (Spices)",Asian,Dinner,350,"Protein: 26.2g, Carbs: 43.8g, Fat: 7.8g",Half plate boiled rice
Greek Yogurt Parfait,"greek yogurt (1 unit) (Protein), honey (1 tsp) (Sugars), granola (1 unit) (Others), strawberry (3 pcs) (Fruits), blueberry (5 pcs) (Fruits)",Greek,Breakfast,280,"Protein: 21.0g, Carbs: 35.0g, Fat: 6.2g",None
Lentil Soup,"lentil (1 unit) (Protein), carrot (1 small) (Vegetables), celery (1 unit) (Vegetables), onion (1 medium) (Vegetables), garlic (2 cloves) (Spices), vegetable broth (1/2 cup) (Others), olive oil (1 unit) (Condiments)",Middle Eastern,Lunch,320,"Protein: 24.0g, Carbs: 40.0g, Fat: 7.1g",None
Chicken Caesar Wrap,"tortilla (1 unit) (Grains), grilled chicken (1 unit) (Protein), romaine lettuce (1 unit) (Others), caesar dressing (1 unit) (Sauces), parmesan (20g) (Herbs)",American,Lunch,400,"Protein: 30.0g, Carbs: 50.0g, Fat: 8.9g",None
Egg Fried Rice,"cooked rice (1 unit) (Grains), egg (1 large) (Protein), green pea (1 unit) (Vegetables), carrot (1 unit) (Vegetables), soy sauce (1 tbsp) (Sauces), sesame oil (1 unit) (Spices)",Chinese,Dinner,380,"Protein: 28.5g, Carbs: 47.5g, Fat: 8.4g",None
Avocado Toast,"whole grain bread (1 unit) (Grains), avocado (1 unit) (Fruits), lemon juice (1 unit) (Sauces), chili flake (1 unit) (Spices), salt (1/2 tsp) (Spices)",American,Breakfast,270,"Protein: 20.2g, Carbs: 33.8g, Fat: 6.0g",None
Mango Lassi,"mango (1 unit) (Fruits), yogurt (2 tbsp) (Dairy), milk (1 cup) (Dairy), sugar (1 tbsp) (Sugars), cardamom (1 unit) (Spices)",Indian,Lunch,200,"Protein: 15.0g, Carbs: 25.0g, Fat: 4.4g",None
Quinoa Bowl,"quinoa (1/2 cup) (Grains), black bean (1 unit) (Legumes), corn (1 unit) (Vegetables), avocado (1 unit) (Fruits), lime juice (1 unit) (Sauces), cilantro (1 unit) (Herbs)",Mexican,Lunch,370,"Protein: 27.8g, Carbs: 46.2g, Fat: 8.2g",None
Baked Sweet Potato,"sweet potato (1 unit) (Vegetables), olive oil (1 unit) (Condiments), salt (1/2 tsp) (Spices), black pepper (1 unit) (Spices)",American,Dinner,220,"Protein: 16.5g, Carbs: 27.5g, Fat: 4.9g",None
Tofu Scramble,"tofu (100g) (Protein), turmeric (1 unit) (Spices), bell pepper (1 small) (Vegetables), onion (1 medium) (Vegetables), spinach (1 cup) (Vegetables), olive oil (1 unit) (Condiments)",Vegan,Breakfast,290,"Protein: 21.8g, Carbs: 36.2g, Fat: 6.4g",None
Caprese Salad,"tomato (1 medium) (Vegetables), mozzarella (40g) (Others), basil (5 leaves) (Herbs), olive oil (1 unit) (Condiments), balsamic vinegar (1 unit) (Spices)",Italian,Lunch,250,"Protein: 18.8g, Carbs: 31.2g, Fat: 5.6g",None
Shakshuka,"egg (1 unit) (Protein), tomato sauce (1 unit) (Sauces), onion (1 medium) (Vegetables), garlic (2 cloves) (Spices), bell pepper (1 small) (Vegetables), paprika (1 unit) (Spices)",Middle Eastern,Breakfast,300,"Protein: 22.5g, Carbs: 37.5g, Fat: 6.7g",None
Thai Green Curry,"coconut milk (1 unit) (Dairy), green curry paste (1 unit) (Sauces), chicken (150g) (Protein), basil (5 leaves) (Herbs), eggplant (1 unit) (Vegetables), zucchini (1 whole) (Vegetables)",Thai,Dinner,420,"Protein: 31.5g, Carbs: 52.5g, Fat: 9.3g",Half plate boiled rice
Falafel Wrap,"falafel (1 unit) (Others), pita bread (1 unit) (Grains), lettuce (2 leaves) (Others), tomato (1 medium) (Vegetables), tahini sauce (1 unit) (Spices), cucumber (1 unit) (Vegetables)",Middle Eastern,Lunch,390,"Protein: 29.2g, Carbs: 48.8g, Fat: 8.7g",None
Pesto Pasta,"pasta (1 unit) (Pasta), basil (5 leaves) (Herbs), pine nut (1 unit) (Nuts), garlic (2 cloves) (Spices), parmesan (20g) (Herbs), olive oil (1 unit) (Condiments)",Italian,Dinner,450,"Protein: 33.8g, Carbs: 56.2g, Fat: 10.0g",None
Miso Soup,"miso paste (1 unit) (Others), tofu (100g) (Protein), seaweed (1 unit) (Protein), green onion (1 stalk) (Vegetables), dashi broth (1 unit) (Others)",Japanese,Dinner,150,"Protein: 11.2g, Carbs: 18.8g, Fat: 3.3g",None
Stuffed Bell Peppers,"bell pepper (1 unit) (Vegetables), rice (100g) (Grains), ground beef (1 unit) (Protein), tomato sauce (1 unit) (Sauces), onion (1 medium) (Vegetables), garlic (2 cloves) (Spices)",American,Dinner,410,"Protein: 30.8g, Carbs: 51.2g, Fat: 9.1g",None
Avocado Chickpea Toast,"whole grain bread (1 unit) (Grains), avocado (1 unit) (Fruits), chickpea (50g) (Vegetables), lemon juice (1 unit) (Sauces), chili flake (1 unit) (Spices)",Fusion,Breakfast,310,"Protein: 23.2g, Carbs: 38.8g, Fat: 6.9g",None
Banana Oat Pancakes,"banana (1 medium) (Fruits), oat (1 unit) (Others), egg (1 large) (Protein), baking powder (1 tsp) (Others), milk (1 cup) (Dairy), cinnamon (1/4 tsp) (Spices)",American,Breakfast,330,"Protein: 24.8g, Carbs: 41.2g, Fat: 7.3g",None
Paneer Tikka,"paneer (1 unit) (Protein), yogurt (2 tbsp) (Dairy), bell pepper (1 small) (Vegetables), onion (1 medium) (Vegetables), spice (1 tsp) (Others), lemon juice (1 unit) (Sauces)",Indian,Dinner,400,"Protein: 30.0g, Carbs: 50.0g, Fat: 8.9g",1/2 roti
Egg Salad Sandwich,"boiled egg (1 unit) (Protein), mayonnaise (1 unit) (Sauces), lettuce (2 leaves) (Others), whole wheat bread (1 unit) (Grains), mustard (1 unit) (Sauces)",American,Lunch,350,"Protein: 26.2g, Carbs: 43.8g, Fat: 7.8g",None
Pumpkin Soup,"pumpkin (1 unit) (Fruits), onion (1 medium) (Vegetables), garlic (2 cloves) (Spices), cream (2 tbsp) (Dairy), vegetable broth (1/2 cup) (Others), nutmeg (a pinch) (Spices)",Western,Dinner,280,"Protein: 21.0g, Carbs: 35.0g, Fat: 6.2g",None
Biryani,"rice (100g) (Grains), beef (1 unit) (Protein), yogurt (2 tbsp) (Dairy), spice (1 tsp) (Others), onion (1 medium) (Vegetables), tomato (1 medium) (Vegetables), saffron (1 unit) (Spices)",Indian,Dinner,600,"Protein: 45.0g, Carbs: 75.0g, Fat: 13.3g",Raita
Cauliflower Rice Bowl,"cauliflower (1 unit) (Vegetables), chickpea (50g) (Vegetables), spinach (1 cup) (Vegetables), tahini (1 unit) (Others), lemon juice (1 unit) (Sauces)",Vegan,Lunch,310,"Protein: 23.2g, Carbs: 38.8g, Fat: 6.9g",None
Grilled Fish Tacos,"fish fillet (1 unit) (Protein), corn tortilla (1 unit) (Grains), cabbage (1 unit) (Vegetables), lime (1 unit) (Vegetables), yogurt sauce (1 unit) (Protein)",Mexican,Dinner,390,"Protein: 29.2g, Carbs: 48.8g, Fat: 8.7g",None
Peanut Butter Banana Toast,"whole wheat bread (1 unit) (Grains), peanut butter (1 unit) (Dairy), banana (1 medium) (Fruits), chia seed (1 unit) (Grains)",American,Breakfast,330,"Protein: 24.8g, Carbs: 41.2g, Fat: 7.3g",None
Korean Bibimbap,"rice (100g) (Grains), spinach (1 cup) (Vegetables), carrot (1 small) (Vegetables), beef (1 unit) (Protein), egg (1 large) (Protein), gochujang (1 unit) (Others), sesame oil (1 unit) (Spices)",Korean,Lunch,450,"Protein: 33.8g, Carbs: 56.2g, Fat: 10.0g",None
Tuna Nicoise Salad,"tuna (1 unit) (Protein), green bean (1 unit) (Legumes), potato (1 unit) (Vegetables), egg (1 large) (Protein), olive (1 unit) (Spices), tomato (1 medium) (Vegetables), dressing (1 unit) (Others)",French,Lunch,370,"Protein: 27.8g, Carbs: 46.2g, Fat: 8.2g",None
Stuffed Zucchini Boats,"zucchini (1 whole) (Vegetables), quinoa (1/2 cup) (Grains), tomato sauce (1 unit) (Sauces), cheese (30g) (Dairy), garlic (2 cloves) (Spices), onion (1 medium) (Vegetables)",Mediterranean,Dinner,340,"Protein: 25.5g, Carbs: 42.5g, Fat: 7.6g",None
Ratatouille,"zucchini (1 whole) (Vegetables), eggplant (1 unit) (Vegetables), bell pepper (1 small) (Vegetables), tomato (1 medium) (Vegetables), onion (1 medium) (Vegetables), olive oil (1 unit) (Condiments), herb (1 unit) (Others)",French,Dinner,280,"Protein: 21.0g, Carbs: 35.0g, Fat: 6.2g",None
Chana Masala,"chickpea (50g) (Vegetables), onion (1 medium) (Vegetables), tomato (1 medium) (Vegetables), garlic (2 cloves) (Spices), ginger (1 tsp) (Spices), spice (1 tsp) (Others)",Indian,Lunch,370,"Protein: 27.8g, Carbs: 46.2g, Fat: 8.2g",1/2 Roti
Spinach Feta Omelette,"egg (1 unit) (Protein), spinach (1 cup) (Vegetables), feta cheese (1 unit) (Dairy), onion (1 medium) (Vegetables), olive oil (1 unit) (Condiments)",Greek,Breakfast,290,"Protein: 21.8g, Carbs: 36.2g, Fat: 6.4g", 2 bread slices
Veggie Burrito,"tortilla (1 unit) (Grains), rice (100g) (Grains), bean (1 unit) (Legumes), corn (1 unit) (Vegetables), bell pepper (1 small) (Vegetables), avocado (1 unit) (Fruits)",Mexican,Lunch,420,"Protein: 31.5g, Carbs: 52.5g, Fat: 9.3g",None
Kimchi Fried Rice,"rice (100g) (Grains), kimchi (1 unit) (Others), egg (1 large) (Protein), sesame oil (1 unit) (Spices), soy sauce (1 tbsp) (Sauces)",Korean,Dinner,400,"Protein: 30.0g, Carbs: 50.0g, Fat: 8.9g",None
Gnocchi with Pesto,"gnocchi (1 unit) (Pasta), basil (5 leaves) (Herbs), pine nut (1 unit) (Nuts), garlic (2 cloves) (Spices), olive oil (1 unit) (Condiments), parmesan (20g) (Herbs)",Italian,Dinner,450,"Protein: 33.8g, Carbs: 56.2g, Fat: 10.0g",None
Fruit and Nut Oatmeal,"oat (1 unit) (Others), almond milk (1 unit) (Dairy), banana (1 medium) (Fruits), raisin (1 unit) (Nuts), walnut (1 unit) (Nuts), honey (1 tsp) (Sugars)",American,Breakfast,320,"Protein: 24.0g, Carbs: 40.0g, Fat: 7.1g",None
Vietnamese Spring Rolls,"rice paper (1 unit) (Grains), shrimp (3 pieces) (Protein), lettuce (2 leaves) (Others), vermicelli (1/4 cup) (Others), mint (5 leaves) (Herbs), carrot (1 small) (Vegetables)",Vietnamese,Lunch,200,"Protein: 15.0g, Carbs: 25.0g, Fat: 4.4g",None
Stuffed Eggplant,"eggplant (1 unit) (Vegetables), ground turkey (1 unit) (Protein), tomato sauce (1 unit) (Sauces), onion (1 medium) (Vegetables), cheese (30g) (Dairy)",Mediterranean,Dinner,410,"Protein: 30.8g, Carbs: 51.2g, Fat: 9.1g",None
Tandoori Chicken,"chicken (150g) (Protein), yogurt (2 tbsp) (Dairy), tandoori masala (1 unit) (Spices), lemon juice (1 unit) (Sauces), garlic (2 cloves) (Spices), ginger (1 tsp) (Spices)",Indian,Dinner,420,"Protein: 31.5g, Carbs: 52.5g, Fat: 9.3g",1/2 Roti
Beetroot Hummus Wrap,"tortilla (1 unit) (Grains), beetroot hummus (1 unit) (Sauces), lettuce (2 leaves) (Others), carrot (1 small) (Vegetables), cucumber (1 unit) (Vegetables)",Fusion,Lunch,290,"Protein: 21.8g, Carbs: 36.2g, Fat: 6.4g",None
Sweet Corn Soup,"corn (1 unit) (Vegetables), carrot (1 small) (Vegetables), water (1/2 cup) (Others), garlic (2 cloves) (Spices), cornflour (1 unit) (Others), spring onion (1 unit) (Vegetables)",Chinese,Dinner,180,"Protein: 13.5g, Carbs: 22.5g, Fat: 4.0g",Garlic Bread
Zucchini Fritters,"zucchini (1 whole) (Vegetables), egg (1 large) (Protein), flour (1/2 cup) (Grains), parmesan (20g) (Herbs), herb (1 unit) (Others)",European,Breakfast,260,"Protein: 19.5g, Carbs: 32.5g, Fat: 5.8g",None
Shrimp Pad Thai,"rice noodle (1 unit) (Grains), shrimp (3 pieces) (Protein), egg (1 large) (Protein), peanut (1 unit) (Nuts), tamarind sauce (1 unit) (Spices), bean sprout (1 unit) (Others)",Thai,Dinner,460,"Protein: 34.5g, Carbs: 57.5g, Fat: 10.2g",None
Smashed Avocado Crackers,"whole grain cracker (1 unit) (Others), avocado (1 unit) (Fruits), lime juice (1 unit) (Sauces), salt (1/2 tsp) (Spices), pepper (1 unit) (Spices)",American,Lunch,220,"Protein: 16.5g, Carbs: 27.5g, Fat: 4.9g",None
Bulgur Wheat Salad,"bulgur wheat (1 unit) (Others), tomato (1 medium) (Vegetables), parsley (1 unit) (Herbs), cucumber (1 unit) (Vegetables), lemon juice (1 unit) (Sauces), olive oil (1 unit) (Condiments)",Middle Eastern,Lunch,310,"Protein: 23.2g, Carbs: 38.8g, Fat: 6.9g",None
Eggplant Parmesan,"eggplant (1 unit) (Vegetables), tomato sauce (1 unit) (Sauces), mozzarella (40g) (Others), parmesan (20g) (Herbs), basil (5 leaves) (Herbs)",Italian,Dinner,390,"Protein: 29.2g, Carbs: 48.8g, Fat: 8.7g",None
Couscous Bowl,"couscou (1 unit) (Others), roasted veggie (1 unit) (Protein), chickpea (50g) (Vegetables), lemon dressing (1 unit) (Sauces)",Moroccan,Lunch,350,"Protein: 26.2g, Carbs: 43.8g, Fat: 7.8g",None
Peanut Noodles,"rice noodle (1 unit) (Grains), peanut butter (1 unit) (Dairy), soy sauce (1 tbsp) (Sauces), garlic (2 cloves) (Spices), carrot (1 small) (Vegetables), cucumber (1 unit) (Vegetables)",Asian,Dinner,440,"Protein: 33.0g, Carbs: 55.0g, Fat: 9.8g",None
Margherita Pizza,"pizza dough (1 unit) (Others), tomato sauce (1 unit) (Sauces), mozzarella (40g) (Others), basil (5 leaves) (Herbs), olive oil (1 unit) (Condiments)",Italian,Dinner,500,"Protein: 37.5g, Carbs: 62.5g, Fat: 11.1g",None
Fettuccine Alfredo,"fettuccine (100g) (Pasta), butter (1 tbsp) (Dairy), parmesan (20g) (Herbs), cream (2 tbsp) (Dairy), garlic (2 cloves) (Spices)",Italian,Dinner,550,"Protein: 41.2g, Carbs: 68.8g, Fat: 12.2g",None
Bruschetta,"baguette (1 unit) (Others), tomato (1 medium) (Vegetables), basil (5 leaves) (Herbs), garlic (2 cloves) (Spices), olive oil (1 unit) (Condiments)",Italian,Breakfast,220,"Protein: 16.5g, Carbs: 27.5g, Fat: 4.9g",None
Caprese Skewers,"mozzarella ball (1 unit) (Others), cherry tomatoe (1 unit) (Vegetables), basil (5 leaves) (Herbs), balsamic glaze (1 unit) (Others)",Italian,Lunch,180,"Protein: 13.5g, Carbs: 22.5g, Fat: 4.0g",None
Minestrone Soup,"vegetable (1 unit) (Others), bean (1 unit) (Legumes), pasta (1 unit) (Pasta), tomato broth (1 unit) (Vegetables), olive oil (1 unit) (Condiments)",Italian,Lunch,300,"Protein: 22.5g, Carbs: 37.5g, Fat: 6.7g",None
Pesto Risotto,"arborio rice (1 unit) (Grains), pesto (1 unit) (Sauces), parmesan (20g) (Herbs), onion (1 medium) (Vegetables), vegetable broth (1/2 cup) (Others)",Italian,Dinner,420,"Protein: 31.5g, Carbs: 52.5g, Fat: 9.3g",None
Spinach Ricotta Stuffed Shells,"pasta shell (1 unit) (Others), ricotta (1 unit) (Others), spinach (1 cup) (Vegetables), marinara (1 unit) (Sauces), mozzarella (40g) (Others)",Italian,Dinner,500,"Protein: 37.5g, Carbs: 62.5g, Fat: 11.1g",None
Eggplant Caponata,"eggplant (1 unit) (Vegetables), tomato (1 medium) (Vegetables), caper (1 unit) (Others), olive (1 unit) (Spices), vinegar (1 unit) (Sauces), onion (1 medium) (Vegetables)",Italian,Lunch,310,"Protein: 23.2g, Carbs: 38.8g, Fat: 6.9g",None
Mac and Cheese,"macaroni (1 unit) (Pasta), cheddar (1 unit) (Dairy), milk (1 cup) (Dairy), butter (1 tbsp) (Dairy), flour (1/2 cup) (Grains)",American,Dinner,550,"Protein: 41.2g, Carbs: 68.8g, Fat: 12.2g",None
Grilled Cheese Sandwich,"bread (1 unit) (Grains), cheddar cheese (1 unit) (Dairy), butter (1 tbsp) (Dairy)",American,Breakfast,400,"Protein: 30.0g, Carbs: 50.0g, Fat: 8.9g",None
Buffalo Wings,"chicken wing (1 unit) (Protein), hot sauce (1 unit) (Sauces), butter (1 tbsp) (Dairy), garlic powder (1 unit) (Spices)",American,Lunch,480,"Protein: 36.0g, Carbs: 60.0g, Fat: 10.7g",One potato Fries
Cobb Salad,"lettuce (2 leaves) (Others), egg (1 large) (Protein), chicken (150g) (Protein), avocado (1 unit) (Fruits), tomato (1 medium) (Vegetables), cheese (30g) (Dairy)",American,Lunch,350,"Protein: 26.2g, Carbs: 43.8g, Fat: 7.8g",None
Pancakes,"flour (1/2 cup) (Grains), milk (1 cup) (Dairy), egg (1 unit) (Protein), baking powder (1 tsp) (Others), sugar (1 tbsp) (Sugars)",American,Breakfast,430,"Protein: 32.2g, Carbs: 53.8g, Fat: 9.6g", Banana/Strawberries
Turkey Burger,"ground turkey (1 unit) (Protein), bun (1 unit) (Others), lettuce (2 leaves) (Others), tomato (1 medium) (Vegetables), cheese (30g) (Dairy)",American,Lunch,450,"Protein: 33.8g, Carbs: 56.2g, Fat: 10.0g", None
Chicken Pot Pie,"chicken (150g) (Protein), pie crust (1 unit) (Others), pea (1 unit) (Vegetables), carrot (1 small) (Vegetables), cream (2 tbsp) (Dairy)",American,Dinner,490,"Protein: 36.8g, Carbs: 61.2g, Fat: 10.9g", None
Sloppy Joes,"ground beef (1 unit) (Protein), tomato sauce (1 unit) (Sauces), onion (1 medium) (Vegetables), bun (1 unit) (Others)",American,Lunch,460,"Protein: 34.5g, Carbs: 57.5g, Fat: 10.2g",None
Chili con Carne,"ground beef (1 unit) (Protein), bean (1 unit) (Legumes), tomato (1 medium) (Vegetables), spice (1 tsp) (Others)",American,Dinner,480,"Protein: 36.0g, Carbs: 60.0g, Fat: 10.7g", None
Chicken Karahi,"chicken (150g) (Protein), tomato (1 medium) (Vegetables), ginger (1 tsp) (Spices), garlic (2 cloves) (Spices), green chili (1 unit) (Spices), spice (1 tsp) (Others)",Pakistani,Dinner,520,"Protein: 39.0g, Carbs: 65.0g, Fat: 11.6g",1/2 Roti
Chicken Karahi,"chicken (150g) (Protein), tomato (1 medium) (Vegetables), ginger (1 tsp) (Spices), garlic (2 cloves) (Spices), green chili (1 unit) (Spices), spice (1 tsp) (Others)",Pakistani,Lunch,520,"Protein: 39.0g, Carbs: 65.0g, Fat: 11.6g",1/2 Roti
Daal Chawal,"lentil (1 unit) (Protein), spice (1 tsp) (Others), rice (100g) (Grains), onion (1 medium) (Vegetables), garlic (2 cloves) (Spices)",Pakistani,Lunch,410,"Protein: 30.8g, Carbs: 51.2g, Fat: 9.1g",
Daal Chawal,"lentil (1 unit) (Protein), spice (1 tsp) (Others), rice (100g) (Grains), onion (1 medium) (Vegetables), garlic (2 cloves) (Spices)",Pakistani,Dinner,410,"Protein: 30.8g, Carbs: 51.2g, Fat: 9.1g",
Nihari,"beef (1 unit) (Protein), flour (1/2 cup) (Grains), ghee (1 unit) (Condiments), spice (1 tsp) (Others), ginger (1 tsp) (Spices), garlic (2 cloves) (Spices)",Pakistani,Breakfast,600,"Protein: 45.0g, Carbs: 75.0g, Fat: 13.3g",1/2 Roti
Chana Pulao,"chickpea (50g) (Vegetables), rice (100g) (Grains), spice (1 tsp) (Others), onion (1 medium) (Vegetables), tomato (1 medium) (Vegetables)",Pakistani,Lunch,430,"Protein: 32.2g, Carbs: 53.8g, Fat: 9.6g",None
Shami Kebab,"beef (1 unit) (Protein), chana dal (1 unit) (Others), spice (1 tsp) (Others), onion (1 medium) (Vegetables), egg (1 large) (Protein)",Pakistani,Dinner,300,"Protein: 22.5g, Carbs: 37.5g, Fat: 6.7g",2 slices of bran bread
Anda Paratha,"egg (1 large) (Protein), paratha (1 unit) (Grains), salt (1/2 tsp) (Spices), chili (1 unit) (Spices)",Pakistani,Breakfast,390,"Protein: 29.2g, Carbs: 48.8g, Fat: 8.7g",None
Lasagna,"lasagna noodle (1 unit) (Others), ricotta (1 unit) (Others), mozzarella (40g) (Others), meat sauce (1 unit) (Spices), parmesan (20g) (Herbs)",Italian,Dinner,600,"Protein: 45.0g, Carbs: 75.0g, Fat: 13.3g",None
Gnocchi alla Sorrentina,"gnocchi (1 unit) (Pasta), tomato sauce (1 unit) (Sauces), mozzarella (40g) (Others), basil (5 leaves) (Herbs)",Italian,Dinner,480,"Protein: 36.0g, Carbs: 60.0g, Fat: 10.7g",None
Italian Wedding Soup,"meatball (1 unit) (Protein), spinach (1 cup) (Vegetables), pasta (1 unit) (Pasta), broth (1 unit) (Others)",Italian,Lunch,390,"Protein: 29.2g, Carbs: 48.8g, Fat: 8.7g",None
Pasta Primavera,"pasta (1 unit) (Pasta), zucchini (1 whole) (Vegetables), bell pepper (1 small) (Vegetables), carrot (1 small) (Vegetables), parmesan (20g) (Herbs)",Italian,Lunch,400,"Protein: 30.0g, Carbs: 50.0g, Fat: 8.9g",None
Tortellini Soup,"tortellini (1 unit) (Pasta), spinach (1 cup) (Vegetables), tomato broth (1 unit) (Vegetables), garlic (2 cloves) (Spices)",Italian,Lunch,350,"Protein: 26.2g, Carbs: 43.8g, Fat: 7.8g",None
Polenta with Marinara,"polenta (1 unit) (Others), tomato sauce (1 unit) (Sauces), parmesan (20g) (Herbs), basil (5 leaves) (Herbs)",Italian,Dinner,350,"Protein: 26.2g, Carbs: 43.8g, Fat: 7.8g",None
Cannoli,"pastry shell (1 unit) (Others), ricotta (1 unit) (Others), sugar (1 tbsp) (Sugars), chocolate chip (1 unit) (Sugars)",Italian,Lunch,420,"Protein: 31.5g, Carbs: 52.5g, Fat: 9.3g",None
Fried Chicken,"chicken (150g) (Protein), flour (1/2 cup) (Grains), spice (1 tsp) (Others), oil (1 tbsp) (Spices)",American,Dinner,520,"Protein: 39.0g, Carbs: 65.0g, Fat: 11.6g",None
Baked Beans,"bean (1 unit) (Legumes), molasse (1 unit) (Others), brown sugar (1 unit) (Sugars), tomato sauce (1 unit) (Sauces)",American,Dinner,320,"Protein: 24.0g, Carbs: 40.0g, Fat: 7.1g",None
Apple Pie,"apple (1 unit) (Fruits), pie crust (1 unit) (Others), cinnamon (1/4 tsp) (Spices), sugar (1 tbsp) (Sugars)",American,Lunch,420,"Protein: 31.5g, Carbs: 52.5g, Fat: 9.3g",None
Cornbread,"cornmeal (1 unit) (Others), milk (1 cup) (Dairy), egg (1 large) (Protein), sugar (1 tbsp) (Sugars), baking powder (1 tsp) (Others)",American,Dinner,300,"Protein: 22.5g, Carbs: 37.5g, Fat: 6.7g",None
Steak and Mashed Potatoes,"steak (1 unit) (Protein), potato (1 unit) (Vegetables), butter (1 tbsp) (Dairy), milk (1 cup) (Dairy), salt (1/2 tsp) (Spices)",American,Dinner,600,"Protein: 45.0g, Carbs: 75.0g, Fat: 13.3g",None
Bagel with Cream Cheese,"bagel (1 unit) (Others), cream cheese (1 unit) (Dairy)",American,Breakfast,350,"Protein: 26.2g, Carbs: 43.8g, Fat: 7.8g",None
Deviled Eggs,"egg (1 unit) (Protein), mustard (1 unit) (Sauces), mayo (1 unit) (Sauces), paprika (1 unit) (Spices)",American,Breakfast,250,"Protein: 18.8g, Carbs: 31.2g, Fat: 5.6g",None
Beef Pulao,"beef (1 unit) (Protein), rice (100g) (Grains), onion (1 medium) (Vegetables), garlic (2 cloves) (Spices), spice (1 tsp) (Others)",Pakistani,Lunch,550,"Protein: 41.2g, Carbs: 68.8g, Fat: 12.2g",Raita
